slug,title,category,editorial_status,A,B,C,D,E,F,G,H,I,J,K,L,overall,tier,reader_test,recognition_evidence,unique_insight_evidence,generic_dictionary_test,generic_dictionary_note,nearest_neighbor_slug,neighbor_similarity,collision,independent_intent,primary_reason,secondary_reasons,trust_risks,word_count,reflection_question_count,related_dream_count,related_reason_count
peeing-the-bed,Peeing the Bed,Body-related dreams,,2,3,3,2,3,2,2,3,3,2,3,2,30,P3,Passes,"Emotionally, peeing the bed can reflect vulnerability, embarrassment, or anxiety about losing control in a place where you expected to feel safe.","peeing the bed in front of others May reflect fears of humiliation, exposure, criticism, or losing control in a public setting.",Clearly no,The page contains identifiable contextual reasoning beyond a broad symbol definition.,seeing-a-spirit-on-your-bed,0.3262,false,The closest neighbor does not currently erase this page's independent intent.,Weak opening,Insufficient emotional context; Insufficient symbolic context,,791,5,4,4
different-reflection-in-the-mirror,Different Reflection in the Mirror,Objects,,3,3,3,0,1,2,2,2,3,0,1,2,22,P1,Passes,"Seeing a different reflection in a mirror often reflects identity shifts, hidden aspects of yourself, changing self-perception, personal transformation, unresolved insecurities, emerging strengths, or the realization that you are no longer the same person you once were.","Why a stranger can appear as your reflection The subconscious sometimes uses unfamiliar faces to represent qualities, fears, desires, strengths, or possibilities that have not yet become part of your conscious identity.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",looking-in-the-mirror,0.4863,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,Poor conditional scenarios,,1176,0,1,1
climbing-stairs,Climbing Stairs,Transformation and life transitions,,2,3,2,2,0,1,2,3,3,0,2,2,22,P1,Passes,"climbing stairs easily Often reflects confidence, steady progress, motivation, and the feeling that obstacles are being managed successfully.","climbing endless stairs May symbolize long-term goals, patience, perseverance, or frustration with slow progress.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",endless-stairs,0.6246,true,"Potentially defensible if this distinction remains central: climbing endless stairs May symbolize long-term goals, patience, perseverance, or frustration with slow progress.",Generic interpretation,Weak reflection questions; Excessive repetition,,953,0,2,2
white-snake,White Snake,Animals and creatures,,2,3,2,2,1,2,2,2,2,2,3,2,25,P2,Passes,being afraid of the white snake Feels uneasy or defensive.,a calm white snake Often feels peaceful or quietly significant.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",snake,0.5773,true,Potentially defensible if this distinction remains central: a calm white snake Often feels peaceful or quietly significant.,Generic interpretation,Excessive repetition; Likely duplicate intent,,736,5,3,3
going-down-stairs,Going Down the Stairs,Spiritual dreams,,3,3,3,2,1,1,2,2,2,2,3,2,26,P2,Passes,"Destination, lighting, handrails, step condition, and whether the stairs end in a basement, public floor, or familiar room determine whether the movement suggests exploration, return, danger, or routine transition.",endless stairs downward Can feel heavy or ongoing.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",climbing-stairs,0.4673,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Excessive repetition,,746,5,3,3
plane-crash,Plane Crash,Travel and transportation,,2,3,2,2,3,2,2,2,2,2,3,2,27,P2,Passes,Travel anxiety Someone flying after years away may have a crash dream that reflects anticipatory fear rather than prediction.,surviving a plane crash Often feels relieving or shocking.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",watching-a-train-or-plane-leave,0.257,false,The closest neighbor does not currently erase this page's independent intent.,Weak opening,Generic interpretation; Insufficient emotional context,,776,5,3,3
stranded-on-island-alone,Stranded on an Island Alone,Anxiety and fear,,3,3,2,2,2,2,2,2,2,2,3,2,27,P2,Passes,"Dreams of being stranded on an island alone often carry a quiet separation — a feeling of being cut off, yet fully aware of it.",Unsupported responsibility Someone managing a family crisis alone might dream of signaling from an island while ships pass at a distance.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",stranded-on-island-with-someone-you-know,0.4108,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,,744,5,3,3
stranded-on-island-with-stranger,Stranded on an Island with a Stranger,Relationships,KEEP,3,3,2,2,2,2,1,1,1,2,3,2,24,P2,Passes,"Who took initiative, how resources were shared, and whether the stranger felt cooperative, controlling, or unsafe matter more than the island alone.","The island limits options, while the stranger leaves character and intention unknown.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",seeing-a-stranger,0.4505,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,Weak spiritual/biblical interpretation; No practical connection,,373,5,3,3
marrying-a-stranger,Marrying a Stranger,Relationships,MERGE_REVIEW,2,3,2,2,0,0,2,2,2,2,3,2,22,P1,Passes,Committing to an unfamiliar role Someone accepting a leadership position might dream of marrying a stranger whose face slowly becomes recognizable.,feeling calm while marrying the stranger Feels accepting or steady.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",getting-married-to-a-stranger,0.5828,true,Potentially defensible if this distinction remains central: feeling calm while marrying the stranger Feels accepting or steady.,Generic interpretation,Insufficient emotional context; Excessive repetition,,703,5,3,3
marrying-a-celebrity,Marrying a Celebrity,Relationships,KEEP,3,2,2,2,3,1,2,2,2,2,3,2,26,P2,Passes,Marrying a celebrity in a dream usually says more about what that person represents than about the person themselves.,You feel at home beside the celebrity An admired quality may be becoming integrated into your own identity rather than remaining distant or borrowed.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",marrying-someone-you-know,0.306,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,,,708,5,3,3
marrying-a-crush,Marrying a Crush,Relationships,KEEP,2,2,2,2,2,1,2,2,2,2,3,0,22,P1,Passes,Wish fulfillment Someone thinking frequently about a crush may dream of a joyful wedding that rehearses hope without predicting a relationship.,"A crush may be someone known closely, admired from a distance, unavailable, or largely imagined.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",marrying-a-stranger,0.4057,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,,will happen,652,5,3,3
tsunami,Tsunami,Natural disasters,,3,2,2,2,3,2,2,2,2,2,3,0,25,P2,Passes,Searching for loved ones Responsibility and fear of failing to protect others may matter as much as personal danger.,The wave reaches you immediately The dream may reflect demands already flooding your coping resources rather than fear of a future event.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",flood,0.2171,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Insufficient emotional context; Insufficient symbolic context,will happen,888,5,3,3
calm-water,Calm Water,Water,,2,3,2,1,1,2,2,2,2,2,3,2,24,P2,Passes,being in calm water Feels immersive and peaceful.,standing near calm water Feels observant or reflective.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",water,0.552,true,Potentially defensible if this distinction remains central: standing near calm water Feels observant or reflective.,Generic interpretation,Poor conditional scenarios; Excessive repetition,,774,5,3,3
